No,Sex,Body site
878,male ,nare 
879,male ,nare 
880,male ,antecubital fossa 
881,male ,antecubital fossa 
882,male ,antecubital fossa 
883,male ,antecubital fossa 
884,male ,volar forearm 
885,male ,volar forearm 
886,male ,volar forearm 
887,male ,volar forearm 
888,male ,popliteal fossa 
889,male ,popliteal fossa 
890,male ,popliteal fossa 
891,male ,popliteal fossa 
892,male ,nare 
893,male ,nare 
894,male ,volar forearm 
895,male ,volar forearm 
896,male ,volar forearm 
897,male ,volar forearm 
898,male ,popliteal fossa 
899,male ,popliteal fossa 
900,male ,popliteal fossa 
901,male ,popliteal fossa 
902,male ,nare 
903,male ,nare 
904,male ,volar forearm 
905,male ,volar forearm 
906,female ,antecubital fossa 
907,female ,antecubital fossa 
908,female ,antecubital fossa 
909,female ,antecubital fossa 
910,female ,volar forearm 
911,female ,volar forearm 
912,female ,volar forearm 
913,female ,volar forearm 
914,female ,popliteal fossa 
915,female ,popliteal fossa 
916,female ,popliteal fossa 
917,female ,popliteal fossa 
918,female ,nare 
919,female ,nare 
920,female ,antecubital fossa 
921,female ,antecubital fossa 
922,female ,antecubital fossa 
923,female ,antecubital fossa 
924,female ,volar forearm 
925,female ,volar forearm 
926,female ,volar forearm 
927,female ,volar forearm 
928,female ,popliteal fossa 
929,female ,popliteal fossa 
930,female ,popliteal fossa 
931,female ,popliteal fossa 
932,female ,nare 
933,female ,nare 
934,male ,popliteal fossa 
935,male ,popliteal fossa 
936,male ,popliteal fossa 
937,male ,popliteal fossa 
938,male ,nare 
939,male ,nare 
940,male ,nare 
941,male ,nare 
942,male ,antecubital fossa 
943,male ,antecubital fossa 
944,male ,antecubital fossa 
945,male ,antecubital fossa 
946,male ,volar forearm 
947,male ,volar forearm 
948,male ,volar forearm 
949,male ,volar forearm 
950,male ,popliteal fossa 
951,male ,popliteal fossa 
952,male ,popliteal fossa 
953,male ,popliteal fossa 
954,male ,nare 
955,male ,nare 
956,male ,antecubital fossa 
957,male ,antecubital fossa 
958,male ,antecubital fossa 
959,male ,antecubital fossa 
960,male ,volar forearm 
961,male ,volar forearm 
